Year,,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
Quarter,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
1,        Gross domestic product,16611.7,16713.3,16809.6,16915.2,16843,16943.3,16854.3,16485.4,16298.3,16269.1,16326.3,16502.8,16582.7,16743.2,16872.3,16960.9,16920.6,17035.1,17031.3,17222.6,17367,17444.5,17469.7,17489.9,17662.4,17709.7,17860.5,18016.1,17954,18185.9,18406.9,18500,18666.6,18782.2,18857.4,18892.2,19001.7,19062.7,19197.9,19304.4,19398.3,19506.9,19660.8,19882.4,20044.1,20150.5,20276.2,20304.9,20431.6,20602.3,20843.3,20985.4,20693.2,19056.6,20548.8,20771.7,21058.4,21389,21571.4,21960.4,21903.9,21919.2,22066.8,22249.5,22403.4,22539.4,22780.9,22960.6,23053.5,23223.9,23400.3,23536.3
2,Personal consumption expenditures,11183.3,11212.7,11287.5,11331.9,11316.4,11347.6,11260.1,11158.8,11130.5,11075.7,11150.2,11137.9,11202.5,11303,11383.6,11453.4,11497.1,11509,11544,11563.9,11647.3,11667.8,11691.4,11738,11814.3,11848.1,11896.3,12001,12044.2,12159.9,12280.1,12421.6,12516.9,12603.1,12691.8,12743.4,12839.6,12903.3,12993.1,13060.1,13160.5,13225.7,13315.4,13460.9,13558.4,13631,13693.8,13736.6,13758.3,13875.7,14033.2,14125.3,13885.9,12671.9,13813,14008.1,14328.6,14809.1,14924.3,15086.9,15123.4,15219.9,15277.6,15324,15510.2,15548.5,15646.7,15781.4,15856.9,15967.3,16113,16278.5
3,    Goods,3397.3,3405.2,3426.7,3433.4,3377,3371.9,3301.3,3200.6,3201.5,3180.9,3236.3,3219,3243.2,3287.4,3312.1,3358.2,3374.9,3362.5,3363.7,3388,3430.9,3430.3,3445.4,3469.9,3533.3,3541,3569.9,3605.2,3632.2,3700.5,3742.3,3795.9,3845,3886.1,3930.2,3948.6,3990.7,4025.5,4068.5,4094.3,4131.2,4175.1,4226.8,4315.7,4355.3,4365.7,4385.6,4408.2,4420.5,4496.8,4561,4576,4549.3,4442.6,4931.1,4968.9,5177.5,5354.9,5221.4,5280.7,5258.4,5238.3,5208.5,5200,5293.5,5288.9,5334.1,5378.5,5362.8,5402.1,5476.7,5558.1
4,        Durable goods,969.9,980.1,992.1,999.5,967.2,960.3,927.9,859.6,861.1,854.9,896.4,875.3,886,913.9,928.2,954.2,962.6,955.8,964.3,987.4,1011.5,1013.4,1026.6,1049.8,1076.2,1081.5,1091.3,1102.5,1121,1162.8,1183,1205.8,1228.9,1253.7,1270.1,1278.3,1295.3,1306.3,1339.8,1360.8,1371.7,1389.2,1424.9,1477.8,1496.9,1505.6,1516.4,1518.9,1505.4,1549.2,1585.7,1598.6,1525,1518.8,1808,1828.2,1956,2024.4,1885,1924.2,1924.6,1914.2,1905.1,1895.4,1971.8,1970.2,1990.5,2004.5,1995.7,2022.3,2059.8,2119.5
5,        Nondurable goods,2435,2429.9,2437.5,2435.5,2416.6,2420.4,2385.1,2362.3,2361.4,2347.3,2354.7,2362.3,2374.8,2387.9,2396.8,2414.6,2422.7,2417.5,2409.3,2408.7,2426.3,2423.6,2424.8,2424.8,2461.5,2463.7,2482.7,2506.7,2514.7,2540.3,2561.8,2592.4,2618.2,2634,2661.6,2671.7,2696.7,2720.4,2729.1,2733.6,2759.5,2785.8,2801.8,2838.1,2858.9,2860.8,2870,2889.7,2914.9,2947.9,2976.4,2979.1,3022.9,2923.9,3128.3,3146,3228.7,3337.8,3340.8,3361.3,3338.7,3328.8,3308.1,3308.8,3329.2,3326.2,3351.6,3381.7,3374.5,3388.6,3427,3452.2
6,    Services,7785.6,7807.3,7860.9,7900.1,7952,7991.3,7984.1,7997.2,7965.7,7931.7,7944.7,7952.2,7992,8046,8101.9,8121.5,8147.7,8174.9,8210.4,8202.5,8239.8,8262.1,8269.4,8289.8,8296,8322.6,8339.9,8408.9,8423.2,8466.5,8544.3,8631.2,8675.8,8719.8,8763.4,8796.5,8850.1,8878.6,8925,8966,9029.3,9050.5,9088.4,9145.3,9203.4,9265.6,9308.6,9329.1,9338.8,9381.2,9474.6,9550.2,9339.4,8250.5,8910.9,9065.7,9184.6,9488.8,9727.3,9831,9888.6,10004,10090.2,10144.1,10238.1,10279.7,10333.3,10423.6,10511.3,10582.7,10656.7,10743.7
7,Gross private domestic investment,2800,2827,2794.5,2762.5,2687,2641.9,2589.3,2338.9,2073.1,1952.6,1946.9,2128.5,2174.3,2288.5,2390.1,2383.3,2338.9,2434.5,2445.3,2633.8,2692.2,2752.6,2759.9,2736.4,2845.4,2882.5,2999,3027.8,2998.1,3121.3,3193.2,3203.4,3314.9,3328,3335.3,3315.3,3301.1,3287,3301.1,3391.7,3382.7,3435.9,3493.2,3558.9,3612.9,3612.4,3722.2,3724.8,3755.5,3790,3819.9,3770.4,3673.8,3163,3747.7,3863.8,3840.2,3777.7,3923.2,4175.7,4250.7,4156.8,4096,4153.8,4058.1,4136.6,4237.3,4244.8,4282.5,4369.2,4377.7,4313.8
8,    Fixed investment,2787,2800.1,2784.1,2757.4,2714.7,2692.4,2624.4,2451.1,2256.2,2174.4,2182.5,2193.5,2192.7,2272.7,2285.2,2328.8,2325.3,2380,2480.4,2544.2,2624,2677.2,2681.3,2729.4,2782.6,2811.7,2863.4,2910.2,2946,3032.7,3094.5,3137.3,3150.3,3184.5,3220.3,3219.5,3243.2,3267.1,3303.6,3333.7,3376.9,3410.5,3436.6,3516,3576.8,3613.8,3623.5,3632.8,3643.1,3710.7,3750.1,3739.5,3711.3,3420.6,3643.3,3780.9,3867.1,3919.5,3898.5,3926.4,4006.8,4026.4,4008.2,3988.7,4018.8,4103,4128.9,4164.9,4231.4,4255.7,4277.7,4263.1
9,        Nonresidential,1940.4,1983.5,2014.6,2045.7,2053.8,2058,2019.6,1901.9,1758.6,1705.1,1695.2,1706.6,1718.7,1775.3,1823.7,1859.4,1857.3,1905.7,1995.4,2046.6,2099.3,2146.7,2139.6,2162.9,2196.3,2207.6,2248.2,2302.2,2339.4,2406.4,2458.5,2479.9,2481.1,2498.4,2513.6,2502.5,2504.6,2525.9,2564,2584.6,2610.4,2639.8,2665.2,2728.9,2805.3,2837.1,2854.6,2880.4,2899.8,2955,2983.5,2970.3,2913.9,2679.6,2796.8,2871.6,2937.9,3001.4,2988.2,3013.3,3110.7,3165.9,3225.1,3270,3312.8,3391.6,3400.9,3432.9,3471,3504.1,3538.8,3509.7
10,            Structures,582.4,614.7,644.2,660.7,663.7,674.7,670.6,655.1,606.4,559.9,521.8,477.6,446,459,452.6,461.6,428.2,458.4,486.1,503.2,527.4,540.3,534.3,524,513,526.6,552,557.4,578.1,598.9,600.8,611.2,604.9,613.4,597.2,577.1,557.4,570.2,592.9,598.4,597.8,599.3,586.4,596.2,631.3,633.9,634.8,616.9,619.2,639.1,664.5,653.2,645.6,570.3,560.8,563.3,575.3,576.1,570.5,556.5,571.1,583.3,596.3,610.4,631.9,656.3,659.2,669.7,679.9,680.2,671.6,673.5
11,            Equipment,827.9,839.4,843.6,848.6,844,833.8,807.6,713.6,634.1,609,624.4,653.3,699.5,745.1,785.2,801.2,821,832.3,882.4,902.8,930.9,957.2,954.4,973.4,993.7,995.4,998,1038.9,1049.4,1077.7,1111.2,1105.8,1117.4,1122.2,1140.9,1128.4,1125.4,1113.8,1112.6,1118.1,1125.4,1146.8,1165.9,1201.7,1223,1225.1,1225.1,1241.2,1248,1260.7,1241.9,1213.8,1147.5,1016.9,1126.1,1171.9,1187.2,1212.1,1178.7,1183.2,1228.9,1232.2,1252.1,1255.5,1258.2,1295.7,1292.3,1294.6,1295.7,1326.5,1361,1329.3
12,            Intellectual property products,546.1,549.8,551.7,563.3,573.9,579.5,572.7,568.6,553.1,567,572.8,590.2,580.2,577.3,588.5,599.6,605.7,615.6,628.1,642.4,643.8,652,653.3,666.1,688.2,685.5,699.8,706.4,713.3,731.4,747.2,764.2,759.6,763.8,775.9,796.9,821.3,841.9,858.9,868.5,887.4,893.7,912.9,931,950.8,977.9,994.5,1022.8,1033.4,1055.7,1076.5,1102.5,1118.8,1091.1,1111.5,1139.2,1178,1216.7,1242,1279,1317.3,1357.2,1383.6,1410.2,1425.8,1439.6,1449.7,1468.3,1495,1497.7,1509.2,1509.1
13,        Residential,892.2,857.1,802.6,735.8,677.3,646.6,613.8,554.1,500.3,469.6,491.4,490.4,474.6,499.2,455,462.5,461,466.2,474.6,486.9,516.3,520.8,534.1,562,583.3,603,614,604.2,601.6,621.4,630.8,653.4,666.3,684.1,705.6,716.6,739,741.3,739.3,748.9,766.5,770.8,771.3,787,772.1,777.4,770.1,754.6,746.1,758.7,769.6,772.1,798,741,841.3,900.1,919.1,910.5,902.6,905.3,894.9,867.8,807.1,756.5,748.2,756.4,770.6,775.5,800.8,795.2,786.5,796.9
14,    Change in private inventories,29.7,54.9,36.3,31.2,-6.8,-29.6,-14.8,-78.1,-167.7,-219.1,-236.8,-57.5,-6.9,35.3,120.3,68.9,29.1,65.5,-14.9,97.7,77.8,89.5,85.5,24,75.9,79.5,137.3,121.4,58.3,92.8,106,83.2,169.4,145.3,120.3,99.6,62.4,19.2,-3.7,55.6,7,26,55.5,42.1,34.1,0.5,92.9,89.8,114.3,82.5,67.5,25.3,-43,-262.5,107.5,79.5,-22,-141,9.5,200.1,195.8,86.7,58.8,135.1,20.6,-0.2,67.2,44.6,17.7,71.7,57.9,10.2
15,Net exports of goods and services,-676.6,-663.6,-623.3,-560.1,-540.1,-463.7,-442.4,-469,-397.5,-304.4,-324,-328.8,-341.8,-400.8,-426.8,-382.6,-377.1,-352.1,-350.6,-366.7,-353.3,-341.8,-342,-316.6,-303.4,-319.5,-318.8,-275.6,-329.7,-339.9,-335.4,-385.3,-443.6,-458.9,-496.2,-507.1,-510.3,-496.3,-479.5,-537.2,-525.1,-544.6,-541.8,-561.9,-558.5,-549,-622.4,-644.3,-619.4,-649,-635,-561.9,-557.8,-557.9,-730.6,-807.4,-866.8,-911.5,-972,-996,-1132.1,-1111.2,-978.2,-945.3,-926,-929.6,-938.9,-936.7,-977,-1035.7,-1069.2,-1061.4
16,    Exports,1689.4,1715,1768.6,1809.2,1838,1892,1883.6,1772.8,1631.3,1642,1702.7,1796.5,1836.9,1877.3,1931,1983.8,2000.8,2034.7,2062.7,2078.4,2103.7,2124.5,2137.5,2139.5,2150.6,2170.1,2188.7,2251.8,2230.2,2278.4,2287.8,2306.7,2288.5,2294.6,2276.1,2273,2266.5,2284.1,2321.1,2303.8,2359.9,2367.9,2381.8,2443.5,2459.3,2472.7,2441.8,2451.9,2474.9,2462.4,2462.9,2477.9,2371.8,1871,2105,2233.6,2235.4,2253.2,2258.3,2390.3,2362.2,2433.7,2517.5,2510.3,2522.5,2491.6,2521.5,2559.6,2571.8,2578.4,2638.2,2634.8
17,        Goods,1113.2,1128.9,1159.8,1184.8,1207.3,1248.6,1249.6,1150.5,1030.5,1024.8,1075.1,1149.6,1183.3,1217.5,1246.3,1282.7,1296.4,1316,1328.4,1357.2,1363.8,1380.5,1388.7,1374.5,1383.7,1405.2,1412.8,1467.3,1441.7,1479.6,1494.4,1506.8,1478.2,1487.6,1472.7,1464.2,1471.6,1471.5,1498.2,1499.6,1532.4,1528.3,1534.9,1591,1598.4,1633.5,1600.8,1615.8,1630.1,1599,1611.7,1618.8,1597.3,1213.6,1452.7,1546.7,1542,1546.6,1536.2,1632.7,1592.7,1634.5,1711.9,1688.4,1710.3,1661.5,1691.8,1713.6,1712.5,1716.5,1759,1737.5
18,        Services,571.9,582,605.5,621.3,626.8,638,627.3,621.9,605.7,624.6,633,649.8,655.1,659.8,685.7,701.7,704.4,719.2,736.3,718.9,739.8,743.2,748,767.5,768.9,765.1,776.8,783.1,789,798.3,791.7,798.3,810.4,806.8,803.4,809.2,795,812.5,822.9,804.2,827.5,839.5,846.9,852.5,860.9,838.9,841,836.1,844.9,863,851.2,859,776.3,655.4,656.6,691.3,696.9,709.5,724.7,760.3,773.1,803.7,808.8,825.8,816.4,833.7,833.8,850,862.8,865.5,883,899.6
19,    Imports,2366,2378.6,2391.9,2369.3,2378.2,2355.7,2325.9,2241.8,2028.7,1946.4,2026.7,2125.3,2178.7,2278.1,2357.8,2366.4,2378,2386.9,2413.3,2445,2457.1,2466.2,2479.5,2456.1,2454,2489.6,2507.5,2527.3,2559.9,2618.2,2623.2,2692,2732.1,2753.5,2772.3,2780.1,2776.8,2780.4,2800.7,2841,2885,2912.4,2923.6,3005.4,3017.8,3021.7,3064.2,3096.2,3094.3,3111.4,3097.9,3039.8,2929.7,2428.9,2835.5,3041,3102.2,3164.7,3230.2,3386.3,3494.3,3545,3495.7,3455.5,3448.5,3421.3,3460.4,3496.3,3548.7,3614,3707.4,3696.2
20,        Goods,1922.6,1930.9,1937.9,1918.6,1917.1,1901,1865.5,1774.2,1576.7,1496.3,1570.8,1660.2,1711.2,1805.4,1873.5,1883.2,1901.3,1900.6,1919.9,1952.6,1963.1,1969.7,1982.1,1963,1972.6,2005,2022.2,2036.3,2061.4,2119.1,2124.4,2178.4,2226.4,2243.3,2254.6,2249.9,2249.7,2251.3,2262.9,2309.6,2338.1,2356.3,2348.7,2436.5,2461.4,2466.7,2510.4,2527.7,2514.1,2526.3,2516.9,2462,2397.6,2029.8,2416.6,2586.7,2636.7,2670.8,2676.5,2811,2901.9,2924.1,2862.2,2833.4,2834.4,2798.4,2833.7,2846.1,2891.1,2949.9,3025.6,2986.8
21,        Services,440.6,445.3,452.2,448.9,460.9,453.9,463.1,476,464,463.7,468.7,476.6,477.9,480.7,491.7,490.1,481.6,492.7,500.4,497.6,499.1,501.8,502.4,498.2,484.2,486.7,486.9,492.9,500.6,499.5,499.1,514.3,505.3,509.9,517.6,530.5,527.2,529,537.8,531.3,546.9,556.2,574.8,568.9,556.3,555,553.7,568.5,580.2,585,580.8,577.1,532.1,401.1,424.2,459.4,470.4,497.9,555.9,577.6,594.7,623,635.2,623.9,616.2,623.7,627.7,649.8,657.4,664.4,682.1,706.8
22,Government consumption expenditures and gross investment,3299.1,3329.1,3344.2,3371,3378.7,3407.8,3435.1,3458.8,3498.1,3549,3558.5,3565.2,3549.8,3560.6,3535.4,3512.9,3469.8,3446.1,3396.9,3394.6,3380.2,3362.3,3357.2,3324.1,3293.1,3288.9,3272.8,3247.6,3233.6,3238,3259.9,3257.5,3277.2,3309.3,3326.8,3341.1,3371.6,3369,3383.7,3389.6,3380.2,3389.8,3394,3424.5,3431.7,3456.3,3483.6,3488.4,3536.6,3584.6,3625.5,3654.8,3694.6,3774.4,3716.2,3701.9,3749.4,3709.2,3694.9,3692.2,3660.9,3647.2,3661.3,3710.1,3756.4,3783.7,3836.3,3870.7,3887.7,3917,3966.2,3994.3
23,    Federal,1185.5,1205,1215.5,1235.8,1254.6,1281.4,1298,1314.9,1332.3,1363.9,1376.4,1396.9,1412.5,1431,1424.5,1422.3,1402.2,1396.8,1366.4,1371.5,1371.4,1360.5,1363.3,1336.2,1306,1295.9,1277.8,1256,1254.9,1247.7,1262.1,1243.1,1248,1251.9,1250.8,1260.2,1261.1,1254.8,1261.4,1262.5,1257.2,1263.9,1263.1,1280,1293,1302.3,1319.1,1325.3,1339.8,1353.4,1370.3,1377.8,1392.2,1494.7,1447.4,1447.9,1506.7,1475.7,1447.2,1458.4,1426.3,1414.4,1412.9,1443.6,1460,1456,1474.8,1473.5,1472.2,1487.8,1520,1534.8
24,        National defense,752.6,769.6,774.5,788.4,801.3,815.8,834.3,846.8,849.4,871.3,878,887.9,892.9,899.2,897.4,899.7,883.2,886.9,874.8,867.3,861.7,851.1,853.3,826.7,806.7,802.3,786.5,774,764.4,759.7,769.7,747.8,745.6,747.5,740.3,746,743.2,735.8,743.3,742.2,739.1,749.8,746.8,757.5,760.2,767.2,779.3,791.8,810.3,808.5,820.7,825.7,830.9,835.3,835.1,860.7,843.3,837.3,827.5,819.6,795.7,799.5,793.6,808.3,818,819.6,833,830.3,825,838,865.7,875.7
25,        Nondefense,431.8,434.1,439.8,446.2,452,464.4,462.1,466.4,481.5,491.2,497,507.7,518.5,530.7,525.9,521.3,517.8,508.5,490.1,503,508.8,508.5,509.1,508.9,498.7,493,490.8,481.5,490.2,487.7,492,495.1,502.3,504.3,510.4,514.2,517.9,519,518.1,520.3,518.1,514.1,516.3,522.5,532.8,535.2,539.8,533.6,529.7,544.9,549.6,552.1,561.3,659.2,612.3,587.2,663.5,638.4,619.6,638.8,630.8,614.9,619.3,635.5,642.2,636.4,641.8,643.2,647.3,649.8,654,658.7
26,    State and local,2120.6,2130.6,2134.9,2140.6,2128.8,2130.3,2140.8,2147.4,2169.1,2187.9,2184.6,2169.8,2137.8,2129.5,2110.6,2090.2,2067.3,2048.8,2030.4,2022.8,2008.2,2001.4,1993.4,1987.8,1987.2,1993.1,1995.1,1991.6,1978.8,1990.3,1997.9,2014.4,2029.1,2057.3,2075.9,2080.8,2110.5,2114.2,2122.3,2127.2,2123.1,2125.9,2130.9,2144.5,2138.7,2154,2164.7,2163.2,2197,2231.3,2255.4,2277,2302.2,2281.5,2269.8,2255.3,2246.1,2236.1,2249,2236,2235.3,2232.9,2248,2266.9,2296.6,2327.1,2360.8,2395.9,2414,2427.9,2445.3,2458.7
27,Residual,-84.1,-88.9,-83.8,-73.5,-82.9,-75.9,-78.2,-129.9,-111.8,-90.8,-71.5,-69.2,-62,-71.2,-57.2,-45.6,-43.5,-37.2,-48.6,-28,-26.9,-27.4,-20.6,-28.2,-14,-15.1,-7.6,1.2,-7.7,-2.9,-0.5,-16.8,-7.8,-4.3,-8.1,-6.8,-7.2,-1.8,-0.1,2.2,-1.3,-0.4,1.3,0.4,0.3,-3.4,2.5,-2.5,-6.2,-8.3,-4.2,-2.8,0.8,-7.4,-31.1,-17.2,-33.2,-35.5,-9.7,21.1,12.9,6.8,-18.6,-34.1,-53.2,-40.8,-33.1,-39.1,-30.3,-24.2,-28.6,-34.8
